TERYT;Wojewodztwo;Powiat;pow;typ;TOT;mlodzi;sredni;starsi;Przemysl;DPS;szkoly;X;Y
2470;śląskie;Mysłowice;65,4;grodzki;77757;10807;56928;10027;15;1;36;511028;260280
3210;zachodniopomorskie;myśliborski;1177,6;ziemski;68049;10634;49523;7868;37;4;43;223034;562307
405;kujawsko-pomorskie;golubsko-dobrzyński;610,2;ziemski;45272;7775;31983;5506;22;0;29;499473;581540
401;kujawsko-pomorskie;aleksandrowski;472,7;ziemski;56202;8715;39761;7719;5;2;27;481071;546578
414;kujawsko-pomorskie;świecki;1468;ziemski;103230;17249;74111;11865;10;1;52;460946;624194
3020;wielkopolskie;pleszewski;710,5;ziemski;62856;10479;44975;7347;5;2;34;416031;451708
1861;podkarpackie;Krosno;43,4;grodzki;47794;6757;34395;6640;8;1;17;698497;206071
2009;podlaskie;sejneński;851,5;ziemski;20986;3204;14415;3295;1;0;17;781327;700926
1817;podkarpackie;sanocki;1152,6;ziemski;96172;15339;68830;11959;19;2;63;729585;178417
1215;małopolskie;suski;683,4;ziemski;83702;14922;57599;11186;5;1;39;546212;204004
809;lubuskie;zielonogórski;1345,5;ziemski;74713;11819;54852;8057;10;2;27;273158;477768
1434;mazowieckie;wołomiński;949,9;ziemski;214770;38452;151463;24773;10;8;85;663294;507183
2408;śląskie;mikołowski;232;ziemski;94130;14384;67358;12399;14;0;49;488415;253782
3204;zachodniopomorskie;goleniowski;1608,7;ziemski;81789;13531;59483;8709;9;4;43;225877;646377
1863;podkarpackie;Rzeszów;126,2;grodzki;181204;25522;131959;23723;12;11;93;713199;242005
2007;podlaskie;łomżyński;1349;ziemski;51636;8884;35145;7535;5;0;40;715417;603649
1609;opolskie;opolski;1528,7;ziemski;125161;16681;91269;17154;20;9;89;429270;324323
3217;zachodniopomorskie;wałecki;1409,2;ziemski;54790;8792;39873;6100;7;0;15;322432;600090
3203;zachodniopomorskie;drawski;1756,9;ziemski;58928;9354;42902;6623;11;0;24;302250;624400
2202;pomorskie;chojnicki;1358,4;ziemski;95891;17612;67685;10580;7;2;44;415663;660357
2413;śląskie;tarnogórski;641,9;ziemski;146021;19869;104869;21262;25;6;79;490255;289514
2208;pomorskie;lęborski;704,4;ziemski;66047;11410;47666;6959;16;2;35;412862;745780
2201;pomorskie;bytowski;2182,7;ziemski;78228;14218;56270;7628;11;3;52;388468;700549
1402;mazowieckie;ciechanowski;1055,5;ziemski;91555;14171;65911;11380;9;3;52;605991;560782
3205;zachodniopomorskie;gryficki;1016,7;ziemski;61771;9960;45007;6793;5;1;25;250095;682131
3021;wielkopolskie;poznański;1892,4;ziemski;328908;60088;237925;30817;55;7;135;355665;490045
1814;podkarpackie;przeworski;695,5;ziemski;79601;13430;55121;11027;8;1;50;752900;252868
1417;mazowieckie;otwocki;613,6;ziemski;119376;19132;83133;17054;7;13;64;662637;467411
1407;mazowieckie;kozienicki;912,5;ziemski;62711;9547;44734;8404;15;2;43;672640;422168
